date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:06	138/138	---M-Z	200	added ('OK')	text/plain	date:Fri,%2015%20Mar%202024%2014:40:05%20GMT	https://mall.cmsmasters.net/robots.txt		(from )
21:40:08	185957/185957	---M-Z	200	added ('OK')	text/html	date:Fri,%2015%20Mar%202024%2014:40:05%20GMT	https://mall.cmsmasters.net/	C:/Users/vietanh/Documents/projectSem3/mall.cmsmasters.net/index.html	(from )
21:40:09	285/285	---M--	403	error ('Forbidden')	text/html	date:Fri,%2015%20Mar%202024%2014:40:08%20GMT	https://mall.cmsmasters.net/xmlrpc.php	C:/Users/vietanh/Documents/projectSem3/mall.cmsmasters.net/xmlrpc.php	(from https://mall.cmsmasters.net/)
21:40:10	29404/29404	---M-Z	200	added ('OK')	text/css	etag:%2272dc-60d660b13de08-gzip%22	https://mall.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=7.9.6	C:/Users/vietanh/Documents/projectSem3/mall.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider27b2.css	(from https://mall.cmsmasters.net/)
21:40:10	32646/32646	---M-Z	200	added ('OK')	application/rss+xml	etag:%220cc81c745a51d293c87fa060609ceca2-gzip%22	https://mall.cmsmasters.net/feed/	C:/Users/vietanh/Documents/projectSem3/mall.cmsmasters.net/feed/index.html	(from https://mall.cmsmasters.net/)
21:40:11	655/655	---M-Z	200	added ('OK')	text/css	etag:%2228f-60d660567ab69-gzip%22	https://mall.cmsmasters.net/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.min.css?ver=6.2.2	C:/Users/vietanh/Documents/projectSem3/mall.cmsmasters.net/wp-content/plugins/events-calendar-pro/src/resources/css/tribe-events-pro-mini-calendar-block.min3781.css	(from https://mall.cmsmasters.net/)
21:40:11	110147/110147	---M-Z	200	added ('OK')	text/css	etag:%221ae43-6103181fe4cad-gzip%22	https://mall.cmsmasters.net/wp-includes/css/dist/block-library/style.min.css?ver=6.4.3	C:/Users/vietanh/Documents/projectSem3/mall.cmsmasters.net/wp-includes/css/dist/block-library/style.min84fc.css	(from https://mall.cmsmasters.net/)
21:40:12	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-60d66006489af-gzip%22	https://mall.cmsmasters.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.5	C:/Users/vietanh/Documents/projectSem3/mall.cmsmasters.net/wp-content/plugins/contact-form-7/includes/css/stylesdfc9.css	(from https://mall.cmsmasters.net/)
21:40:12	7669/7669	---M-Z	200	added ('OK')	application/rss+xml	etag:%220cc81c745a51d293c87fa060609ceca2-gzip%22	https://mall.cmsmasters.net/comments/feed/	C:/Users/vietanh/Documents/projectSem3/mall.cmsmasters.net/comments/feed/index.html	(from https://mall.cmsmasters.net/)
21:40:12	6437/6437	---M-Z	200	added ('OK')	text/css	etag:%221925-60d65fdd8dee7-gzip%22	https://mall.cmsmasters.net/wp-content/themes/mall/style.css?ver=1.0.0	C:/Users/vietanh/Documents/projectSem3/mall.cmsmasters.net/wp-content/themes/mall/style8a54.css	(from https://mall.cmsmasters.net/)
21:40:12	14041/14041	---MC-	200	added ('OK')	text/calendar	date:Fri,%2015%20Mar%202024%2014:40:11%20GMT	https://mall.cmsmasters.net/events/?ical=1	C:/Users/vietanh/Documents/projectSem3/mall.cmsmasters.net/events/indexedf3.html	(from https://mall.cmsmasters.net/)
